ang_sep,eta
0,0.666962973087752
0.001,0.666961697565002
0.002,0.66695787100897
0.003,0.666951493456307
0.004,0.666942564968094
0.005,0.666931085629848
0.006,0.666917055551513
0.007,0.666900474867467
0.008,0.666881343736511
0.009,0.666859662341876
0.01,0.666835430891211
0.02,0.666452926442237
0.03,0.66581582599833
0.04,0.664924739440788
0.05,0.663780519453836
0.06,0.662384260377281
0.07,0.660737296734544
0.08,0.658841201438482
0.09,0.656697783677899
0.1,0.654309086488176
0.11,0.65167738400998
0.12,0.648805178440483
0.13,0.645695196682035
0.14,0.642350386693729
0.15,0.638773913551754
0.16,0.634969155224912
0.17,0.630939698072123
0.18,0.626689332069183
0.19,0.622222045772477
0.2,0.617542021027742
0.21,0.612653627432414
0.22,0.607561416560421
0.23,0.602270115958711
0.24,0.596784622925109
0.25,0.591109998077454
0.26,0.585251458724289
0.27,0.579214372047632
0.28,0.573004248108703
0.29,0.56662673268767
0.3,0.560087599968761
0.31,0.553392745082292
0.32,0.546548176515357
0.33,0.539560008403105
0.34,0.532434452712678
0.35,0.525177811332034
0.36,0.517796468075968
0.37,0.510296880621749
0.38,0.50268557238685
0.39,0.494969124361311
0.4,0.487154166907266
0.41,0.479247371538207
0.42,0.471255442690489
0.43,0.463185109499607
0.44,0.45504311759362
0.45,0.446836220916105
0.46,0.438571173590851
0.47,0.430254721840401
0.48,0.421893595970406
0.49,0.413494502431571
0.5,0.405064115970798
0.51,0.396609071882909
0.52,0.388135958374124
0.53,0.379651309048203
0.54,0.371161595525901
0.55,0.362673220208127
0.56,0.354192509192855
0.57,0.345725705355569
0.58,0.337278961602661
0.59,0.328858334306865
0.6,0.320469776933456
0.61,0.312119133865572
0.62,0.303812134436612
0.63,0.295554387177299
0.64,0.287351374284557
0.65,0.279208446318953
0.66,0.271130817137018
0.67,0.26312355906433
0.68,0.255191598314792
0.69,0.247339710661093
0.7,0.239572517360877
0.71,0.231894481342688
0.72,0.224309903655292
0.73,0.216822920183509
0.74,0.209437498633206
0.75,0.202157435787644
0.76,0.194986355036889
0.77,0.187927704181524
0.78,0.180984753511432
0.79,0.174160594159932
0.8,0.167458136733124
0.81,0.160880110213772
0.82,0.154429061138668
0.83,0.148107353047895
0.84,0.141917166204025
0.85,0.135860497578795
0.86,0.129939161104414
0.87,0.124154788186193
0.88,0.118508828472815
0.89,0.113002550880117
0.9,0.107637044863903
0.91,0.102413221936899
0.92,0.0973318174245929
0.93,0.0923933924543706
0.94,0.0875983361719763
0.95,0.0829468681790348
0.96,0.078439041185032
0.97,0.0740747438668635
0.98,0.069853703928769
0.99,0.0657754913552067
1,0.0618395218489649
1.01,0.058045060446575
1.02,0.0543912253028661
1.03,0.0508769916363057
1.04,0.0475011958265778
1.05,0.0442625396556896
1.06,0.0411595946837423
1.07,0.0381908067503745
1.08,0.0353545005927661
1.09,0.0326488845710043
1.1,0.0300720554915234
1.11,0.027622003519281
1.12,0.0252966171692829
1.13,0.0230936883680514
1.14,0.021010917575619
1.15,0.0190459189586464
1.16,0.0171962256052884
1.17,0.0154592947724793
1.18,0.0138325131563705
1.19,0.0123132021767346
1.2,0.0108986232662436
1.21,0.00958598315564206
1.22,0.00837243914596397
1.23,0.00725510435908179
1.24,0.00623105295803749
1.25,0.00529732532877332
1.26,0.00445093321506811
1.27,0.00368886479868169
1.28,0.00300808971692324
1.29,0.00240556401008164
1.3,0.00187823499139228
1.31,0.00142304603246058
1.32,0.00103694125732022
1.33,0.000716870138569163
1.34,0.000459791989304763
1.35,0.000262680344861152
1.36,0.000122527228646688
1.37,3.63472966769088e-05
1.38,1.18185570571111e-06
1.39,1.41027501685597e-05
1.4,7.22161134688793e-05
1.41,0.000172665979460044
1.42,0.000312637750300561
1.43,0.000489361517188274
1.44,0.000700115230809864
1.45,0.000942227718674262
1.46,0.00121308154683152
1.47,0.00151011572381229
1.48,0.00183082824495591
1.49,0.00217277847562722
1.5,0.00253358937215201
1.51,0.00291094953962918
1.52,0.00330261512610224
1.53,0.00370641155289376
1.54,0.00412023508122329
1.55,0.00454205421554117
1.56,0.00496991094431699
1.57,0.00540192181932209
1.58,0.00583627887473924
1.59,0.00627125038771931
1.6,0.0067051814822846
1.61,0.00713649457874856
1.62,0.00756368969108562
1.63,0.00798534457493721
1.64,0.00840011472918578
1.65,0.00880673325426167
1.66,0.00920401057057386
1.67,0.00959083400066819
1.68,0.00996616721892109
1.69,0.0103290495727684
1.7,0.0106785952796503
1.71,0.0110139925040232
1.72,0.0113345023189456
1.73,0.0116394575568941
1.74,0.0119282615545958
1.75,0.0122003867967887
1.76,0.0124553734639281
1.77,0.0126928278889579
1.78,0.0129124209283468
1.79,0.0131138862526658
1.8,0.0132970185620411
1.81,0.0134616717318661
1.82,0.013607756894192
1.83,0.0137352404602408
1.84,0.0138441420894948
1.85,0.0139345326108198
1.86,0.0140065319010663
1.87,0.0140603067265686
1.88,0.0140960685529318
1.89,0.0141140713284476
1.9,0.0141146092464281
1.91,0.0140980144916763
1.92,0.0140646549762406
1.93,0.0140149320695122
1.94,0.0139492783276288
1.95,0.0138681552270448
1.96,0.013772050907015
1.97,0.0136614779256166
1.98,0.0135369710338054
1.99,0.0133990849718668
2,0.0132483922924746
